Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory  Tregs	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
CSICR_0099.tsv	0.01485013759691335	0.00000000000000000	0.00433619081701347	0.04353577925973339	0.02051034304261817	0.14681509400703807	0.00574806384786749	0.00000000000000000	0.00000000000000000	0.00325866824196579	0.00519744632423664	0.05326519289154048	0.28900501924986327	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00229614524427909	0.02611841306539680	0.00000000000000000	0.00000000000000000	0.38506350641153397	0.00000000000000000	0.88462467868237371	0.51893026937518072
CSICR_0102.tsv	0.00443473088542131	0.00000000000000000	0.00190253657872745	0.08227262808194928	0.00000000000000000	0.18604420562353483	0.00979196681902288	0.00000000000000000	0.00000000000000000	0.06007182098961580	0.00000000000000000	0.07830647251974861	0.33132581578064585	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00342863142312604	0.01146996265315306	0.00000000000000000	0.00000000000000000	0.23095122864505493	0.00000000000000000	0.81989818290713301	0.62289922170831891
CSICR_0106.tsv	0.02942843357073614	0.00000000000000000	0.00000000000000000	0.05620982050325576	0.07099267843244983	0.13829688461916873	0.02003907170174154	0.00000000000000000	0.00000000000000000	0.05574974132474961	0.00000000000000000	0.05122071995458399	0.37332097710861051	0.00202961128658519	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00238253390547744	0.00660105721263858	0.00000000000000000	0.00000000000000000	0.19372847038000279	0.00000000000000000	0.81258535184021807	0.63730269522747995
CSICR_0111.tsv	0.04349441279159748	0.00000000000000000	0.01917217408951058	0.18625807041384174	0.00000000000000000	0.13632006551011502	0.04397878752122627	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.15619987003909386	0.21062192910161884	0.01028427669708114	0.00000000000000000	0.00000000000000000	0.00897008982926229	0.00850383140972859	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.17619649259692408	0.00000000000000000	0.77126056478964411	0.67894115519559195
CSICR_0112.tsv	0.00059162417915972	0.00030489377591978	0.00197370631877381	0.03743097521023154	0.01978136947102168	0.24632055541786402	0.00637271950044012	0.00000000000000000	0.00000000000000000	0.05715114792470483	0.00000000000000000	0.11453633227123113	0.21512056336108765	0.00000000000000000	0.00000000000000000	0.00217672728634533	0.00000000000000000	0.00201682978117520	0.00084017182070246	0.00000000000000000	0.00000000000000000	0.29538238368134273	0.00000000000000000	0.82537752070370518	0.60904817427382041
CSICR_0113.tsv	0.01304534169981817	0.00923134227254680	0.00000000000000000	0.05047947871341341	0.03006406126346224	0.11677445685271129	0.01016752843754990	0.00000000000000000	0.00000000000000000	0.03467836591967138	0.00000000000000000	0.07851573562616811	0.23903240450742919	0.00000000000000000	0.00000000000000000	0.00020038595382867	0.00000000000000000	0.00010217035817251	0.00000000000000000	0.00560760027923697	0.00000000000000000	0.41210112811599137	0.00000000000000000	0.88139238683244969	0.51682683819842490
CSICR_0121.tsv	0.04027682564426067	0.00000000000000000	0.00000000000000000	0.03025582843351278	0.06195908599927007	0.12078583552955929	0.00782153567042751	0.00000000000000000	0.00000000000000000	0.01366218359376176	0.00685939673821237	0.04298947232266983	0.27970626715781705	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00216175833800773	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.39352181057250107	0.00000000000000000	0.84242440574400568	0.56745816605422628
CSICR_0122.tsv	0.03641064275363227	0.00000000000000000	0.00595057900330715	0.05997759916905974	0.00000000000000000	0.23758575401510232	0.00668693122975143	0.00000000000000000	0.00000000000000000	0.03073134372158195	0.00000000000000000	0.11058451406904628	0.21797417910952832	0.00000000000000000	0.00000000000000000	0.00057363349343479	0.00000000000000000	0.00052279559339945	0.00000000000000000	0.00818396647132254	0.00000000000000000	0.28481806137083399	0.00000000000000000	0.79793773795095735	0.64142126452181503
CSICR_0123.tsv	0.02408482632735611	0.00000000000000000	0.00049962856718282	0.00000000000000000	0.08404265117255397	0.09537154991896742	0.02063628597793553	0.00000000000000000	0.00000000000000000	0.00584246896119846	0.00000000000000000	0.02907696308695064	0.38669042762413364	0.00000000000000000	0.00011066559732361	0.00000000000000000	0.00000000000000000	0.01347992432047974	0.00729822362344268	0.00000000000000000	0.00000000000000000	0.33286638482247544	0.00000000000000000	0.83256905204316145	0.58212702691204898
CSICR_0129.tsv	0.04500520383669195	0.00000000000000000	0.00304136198581700	0.05372172594484205	0.06689641774065379	0.13075015731365458	0.01839487450210392	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.05751110366306426	0.26578885047217110	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00053378656812213	0.00000000000000000	0.00833778613876957	0.00000000000000000	0.35001873183410970	0.00000000000000000	0.80875115399347419	0.61720185932102400
