	symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B	description
ENSG00000103742	IGDCC4	0.0471622783233681	-0.0149046874760785	2.73385698256914	0.00643922394943142	0.0167349965118439	-3.08981660001898	immunoglobulin superfamily DCC subclass member 4
ENSG00000213281	NRAS	-0.0273037507655059	0.00505223081892419	-2.73341581037102	0.00644775123741509	0.0167518130235234	-3.09099424256112	NRAS proto-oncogene, GTPase
ENSG00000289138	NA	0.0674237788429501	0.00871218214504012	2.73322845895495	0.00645137557767047	0.0167558845918769	-3.09149429276671	NA
ENSG00000143499	SMYD2	-0.0487811971754213	0.00898896031391706	-2.73263881156134	0.00646279438562383	0.0167801913518987	-3.09306787258253	SET and MYND domain containing 2
ENSG00000213853	EMP2	0.0545384543188465	0.000682211651662248	2.73055452486164	0.00650330383514009	0.0168773867244319	-3.09862751018699	epithelial membrane protein 2
ENSG00000128185	DGCR6L	-0.0323947545752394	0.00223340468442487	-2.73044546369383	0.00650542979875668	0.0168773867244319	-3.09891830656668	DiGeorge syndrome critical region gene 6 like
ENSG00000110171	TRIM3	-0.0187167494994743	0.00703155148724788	-2.73039339689639	0.00650644497418247	0.0168773867244319	-3.09905713141678	tripartite motif containing 3
ENSG00000166025	AMOTL1	0.0268586059584163	-0.00101551146917225	2.72969809668715	0.00652001532749231	0.0169072030698583	-3.10091075140219	angiomotin like 1
ENSG00000119402	FBXW2	-0.0270044187904993	0.0026907329795083	-2.72881650922024	0.00653725818599091	0.016946520663557	-3.10326033736412	F-box and WD repeat domain containing 2
ENSG00000124126	PREX1	-0.0296762145885177	0.00764720671057978	-2.72858838838835	0.00654172666309856	0.0169527087721724	-3.10386819896661	phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 1
ENSG00000175567	UCP2	-0.0632058800607216	0.00909408764276421	-2.72778315697859	0.00655752172331296	0.0169882361438881	-3.10601346035377	uncoupling protein 2
ENSG00000168172	HOOK3	-0.0189235264026196	0.00237982342979036	-2.72761925180955	0.00656074102236698	0.0169911719005339	-3.10645005346272	hook microtubule tethering protein 3
ENSG00000132561	MATN2	0.0368367497466884	-0.0124399352962973	2.72734107421132	0.0065662080336827	0.0169960003234842	-3.10719097468444	matrilin 2
ENSG00000162521	RBBP4	-0.0247935597485337	-0.00145670041883508	-2.72731204590586	0.00656677876218597	0.0169960003234842	-3.10726828682488	RB binding protein 4, chromatin remodeling factor
ENSG00000261135	NA	-0.0706483783974236	0.0103769060917103	-2.72667294931777	0.00657935544208933	0.0170231417013398	-3.10897021252321	NA
ENSG00000108349	CASC3	0.03560215452017	-0.00369715092485299	2.7264928334071	0.00658290383428384	0.0170269138552689	-3.10944979412156	CASC3 exon junction complex subunit
ENSG00000141570	CBX8	-0.0283219376703633	0.000180451906621405	-2.72625962665495	0.00658750071089926	0.0170333946953252	-3.11007069093112	chromobox 8
ENSG00000005961	ITGA2B	-0.0243401009771783	0.00432202875844416	-2.72573458295016	0.00659786075152654	0.0170522763420951	-3.11146839369141	integrin subunit alpha 2b
ENSG00000135473	PAN2	-0.0422671690056431	-0.000644017609138312	-2.72567738870351	0.0065989901817414	0.0170522763420951	-3.11162063287512	poly(A) specific ribonuclease subunit PAN2
ENSG00000114383	TUSC2	-0.0454927257092274	0.00805416800103895	-2.72464448705759	0.00661941718473447	0.0170996362098516	-3.11436946559588	tumor suppressor 2, mitochondrial calcium regulator
ENSG00000152443	ZNF776	-0.0343211772400162	-0.00580351415251434	-2.72419179565492	0.0066283877082596	0.0171173804323952	-3.11557388029885	zinc finger protein 776
ENSG00000285967	NIPBL-DT	-0.0524404616165534	0.00196418878975319	-2.72308622894093	0.00665034166859732	0.0171686316610856	-3.11851449096956	NIPBL divergent transcript
ENSG00000132383	RPA1	-0.017147000400335	-0.00187971541980325	-2.72288171969661	0.0066544099173479	0.0171736909939159	-3.11905832148179	replication protein A1
ENSG00000267397	NA	-0.0659992571792809	0.00229312274875213	-2.72148959964439	0.00668216264685756	0.0172398526318197	-3.12275918469504	NA
ENSG00000262919	CCNQ	-0.0492964416057634	0.0158268520939254	-2.72096858189723	0.00669257623579233	0.0172612518811047	-3.12414380243708	cyclin Q
ENSG00000224892	RPS4XP16	-0.090283513332188	-0.0121192313144542	-2.7199768411293	0.00671243859249552	0.0173069997897676	-3.12677866344008	ribosomal protein S4X pseudogene 16
ENSG00000204469	PRRC2A	-0.0208441116402927	0.00408535977680688	-2.71973454262239	0.00671729935827851	0.0173140516687274	-3.12742226062256	proline rich coiled-coil 2A
ENSG00000182810	DDX28	-0.0536549012701598	0.0119387693783784	-2.71882314550051	0.00673561136898413	0.0173557591269775	-3.12984262716337	DEAD-box helicase 28
ENSG00000269397	NA	-0.0536160528206447	-0.0021071399417734	-2.71777033409077	0.00675682068950772	0.0174049033890071	-3.13263755727482	NA
ENSG00000163191	S100A11	0.0789040965575223	-0.00327597007412346	2.71709925236303	0.00677037128912159	0.0174342947043615	-3.13441854674372	S100 calcium binding protein A11
ENSG00000138061	CYP1B1	0.126134537494411	-0.0148026273353089	2.71695284102027	0.00677333090397784	0.0174364033542666	-3.13480705199733	cytochrome P450 family 1 subfamily B member 1
ENSG00000273257	NA	-0.0361888858476021	0.00205999344272515	-2.71668863111354	0.00677867469368249	0.0174446462496189	-3.13550808624874	NA
ENSG00000114378	HYAL1	0.056524523900011	0.00367533902278741	2.71655593400241	0.00678135999780705	0.0174460445932212	-3.13586014945738	hyaluronidase 1
ENSG00000151500	THYN1	-0.0258872775703845	-0.00369952550082917	-2.71631109410695	0.00678631717714452	0.0174528813996442	-3.13650969843511	thymocyte nuclear protein 1
ENSG00000116774	OLFML3	-0.0474128513528095	0.00528301928516876	-2.71621305553238	0.00678830304162957	0.0174528813996442	-3.13676977424074	olfactomedin like 3
ENSG00000205885	C1RL-AS1	0.0287399678277911	0.00106296649856888	2.71525256350336	0.00680778642644405	0.0174974504396929	-3.13931727383514	C1RL antisense RNA 1
ENSG00000271976	NA	0.0321060784078435	-0.00846980358531994	2.71430352841915	0.00682708687048857	0.0175415213123436	-3.14183352256003	NA
ENSG00000033030	ZCCHC8	0.0285327151931684	-0.00819493027820841	2.71338673509412	0.00684577840638947	0.0175840003532142	-3.14426347090804	zinc finger CCHC-type containing 8
ENSG00000270659	NA	0.0750494348144975	-0.0135110098452971	2.71262692532942	0.00686130428557994	0.0176183238985021	-3.14627672922229	NA
ENSG00000119714	GPR68	0.0240391283149303	0.00157913454039876	2.71130992537998	0.00688829087690317	0.0176820451283884	-3.1497650635255	G protein-coupled receptor 68
ENSG00000279137	NA	-0.0622922668164582	0.0134867417615893	-2.7100071317709	0.00691508037780972	0.0177452204402206	-3.1532141425579	NA
ENSG00000277159	NA	-0.0631752459957921	0.00926337233425433	-2.70974845683063	0.0069204106920049	0.0177533055390173	-3.15389877860272	NA
ENSG00000197063	MAFG	-0.0217602582683927	0.00276588361656719	-2.70938922629497	0.00692781921433786	0.0177667152080547	-3.15484944974574	MAF bZIP transcription factor G
ENSG00000171903	CYP4F11	0.10086196710658	-0.0209022881002534	2.70898055999693	0.00693625594861147	0.0177827525028141	-3.1559307985654	cytochrome P450 family 4 subfamily F member 11
ENSG00000280128	NA	-0.0603263440830697	0.0026386953833859	-2.70872603324824	0.00694151521457757	0.017790636067569	-3.15660420695492	NA
ENSG00000154262	ABCA6	-0.0944998547556355	0.0022115475161808	-2.7084332229221	0.00694756997226687	0.0177956135128048	-3.15737882685089	ATP binding cassette subfamily A member 6
ENSG00000287817	NA	-0.0449843638028469	6.10767735835057e-06	-2.70831698660656	0.00694997483527639	0.0177956135128048	-3.15768630345815	NA
ENSG00000262874	C19orf84	-0.0417753532094339	0.00610229988646436	-2.70831519743356	0.00695001185810094	0.0177956135128048	-3.15769103620573	chromosome 19 open reading frame 84
ENSG00000135945	REV1	-0.0217127591034055	0.00145707653466217	-2.70778952745679	0.00696089708429928	0.0178126348042478	-3.15908141422804	REV1 DNA directed polymerase
ENSG00000263528	IKBKE	0.042443405853359	0.000120174464198824	2.70778295191655	0.00696103334339111	0.0178126348042478	-3.15909880462503	inhibitor of nuclear factor kappa B kinase subunit epsilon
