	symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B	description
ENSG00000100784	RPS6KA5	-0.00467357858414871	-0.000527364270669256	-0.702505701611287	0.482628632291369	0.576986674007515	-6.51739444284493	ribosomal protein S6 kinase A5
ENSG00000279135	NA	-0.0191346300794064	-0.0153181058396351	-0.70223535847024	0.48279706438937	0.577103329828502	-6.51758198074925	NA
ENSG00000213889	PPM1N	0.00646026703093786	0.00172040650109242	0.701393460970611	0.483321797447108	0.577626686956049	-6.5181655460744	protein phosphatase, Mg2+/Mn2+ dependent 1N (putative)
ENSG00000169896	ITGAM	0.0133547957135036	0.00132127378180363	0.701273504809688	0.483396588289343	0.577626686956049	-6.51824863738141	integrin subunit alpha M
ENSG00000163382	NAXE	-0.00680652562494561	0.00609216443101746	-0.701191610230454	0.483447651931171	0.577626686956049	-6.51830535601859	NAD(P)HX epimerase
ENSG00000186272	ZNF17	-0.00760312367463813	-0.000120908705996037	-0.701055819011656	0.48353232815601	0.577643123031784	-6.51839938787524	zinc finger protein 17
ENSG00000167861	HID1	0.0121490467961224	0.0094513599344733	0.700877552954736	0.483643502943415	0.577691205671523	-6.51852280484	HID1 domain containing
ENSG00000228903	NA	-0.00899382877325196	0.00614828751651401	-0.699482063193734	0.48451427381895	0.578596867266202	-6.51948784602142	NA
ENSG00000174132	FAM174A	-0.00903061999359586	0.0052897755147414	-0.699434772509858	0.484543797620966	0.578596867266202	-6.51952051592283	family with sequence similarity 174 member A
ENSG00000179144	GIMAP7	0.0211977669531328	0.00337423388182946	0.699047790248687	0.484785429232547	0.578800545455745	-6.51978777266081	GTPase, IMAP family member 7
ENSG00000270607	NA	0.022855037300875	0.0190911902713186	0.698493123092105	0.485131877337852	0.579129289303357	-6.52017057801205	NA
ENSG00000218891	ZNF579	-0.0131190940266869	0.00850470670816688	-0.698005799497073	0.485436373174823	0.579407863351251	-6.52050665562293	zinc finger protein 579
ENSG00000124466	LYPD3	0.0157725919869111	0.0124055655820696	0.696236656860762	0.486542662907817	0.58064322188779	-6.52172475805399	LY6/PLAUR domain containing 3
ENSG00000273321	NA	-0.0137729632878272	0.000108390993655472	-0.696075627870018	0.486643426202423	0.580678392384814	-6.52183547761158	NA
ENSG00000276704	NA	-0.0250212560946658	0.0206138324603486	-0.694544567277062	0.487602046219834	0.581737024529156	-6.52288691971622	NA
ENSG00000267795	SMIM22	-0.00893195212699438	0.00895596234503376	-0.691431184060123	0.489554529311846	0.583980908208111	-6.52501787806	small integral membrane protein 22
ENSG00000121741	ZMYM2	0.0047359626027768	0.000911425400905791	0.691194544914757	0.489703104164515	0.584072599710056	-6.525179455091	zinc finger MYM-type containing 2
ENSG00000262580	NA	-0.00954558444621588	0.00264984715738218	-0.690395266988419	0.49020511387218	0.584585747070117	-6.5257247932053	NA
ENSG00000104835	SARS2	-0.00700594013608353	0.00336570612335259	-0.689989308772056	0.490460193926652	0.584728147171688	-6.52600153256845	seryl-tRNA synthetase 2, mitochondrial
ENSG00000271653	NA	0.0287633669591557	-0.030329846568081	0.689976722856871	0.49046810331209	0.584728147171688	-6.52601010971655	NA
ENSG00000148803	FUOM	0.0155371743078253	0.0080220698527725	0.689581172991936	0.490716714329697	0.584938919686138	-6.52627959253546	fucose mutarotase
ENSG00000233416	RPS25P3	-0.0187850527126176	-0.00180024243209624	-0.689133745977289	0.490998012990897	0.585132947907918	-6.52658423258768	ribosomal protein S25 pseudogene 3
ENSG00000009790	TRAF3IP3	-0.0141791864352184	-0.00283186698059113	-0.689093742600396	0.49102316745864	0.585132947907918	-6.52661146011013	TRAF3 interacting protein 3
ENSG00000117226	GBP3	-0.0237133754077825	-0.0111706536543212	-0.688455931223545	0.491424322472883	0.585525322782568	-6.52704536088477	guanylate binding protein 3
ENSG00000253720	NA	-0.00593174344567371	-0.00295616695196826	-0.688338354568833	0.491498292216229	0.585527803144827	-6.52712530406487	NA
ENSG00000258515	NA	0.0252965787086609	0.00626937611475427	0.687818673150379	0.49182530559222	0.585831692607288	-6.52747848459928	NA
ENSG00000228238	NA	-0.0201450553738336	-0.00194777272208542	-0.687571526292642	0.491980865638828	0.585899288909177	-6.52764635455365	NA
ENSG00000140829	DHX38	-0.00678892416903411	0.000979964767031472	-0.68743118262355	0.492069213024742	0.585899288909177	-6.52774165359327	DEAH-box helicase 38
ENSG00000284646	NA	0.0107951280215745	0.00461271600774272	0.687282160206282	0.492163033086105	0.585899288909177	-6.52784282459196	NA
ENSG00000289136	NA	-0.0160651352839864	0.0074535074261227	-0.687271429155037	0.492169789406579	0.585899288909177	-6.52785010903431	NA
